,date_time_slot,power_mw
1179,13/04/2023      06:45 - 07:00,40.8
1180,13/04/2023      07:00 - 07:15,43.33
1181,13/04/2023      07:15 - 07:30,41.03
1182,13/04/2023      07:30 - 07:45,31.78
1183,13/04/2023      07:45 - 08:00,26.62
1184,13/04/2023      08:00 - 08:15,17.37
1185,13/04/2023      08:15 - 08:30,9.28
1186,13/04/2023      08:30 - 08:45,5.39
1187,13/04/2023      08:45 - 09:00,2.77
1188,13/04/2023      09:00 - 09:15,2.02
1189,13/04/2023      09:15 - 09:30,1.53
1190,13/04/2023      09:30 - 09:45,1.84
1191,13/04/2023      09:45 - 10:00,3.38
1192,13/04/2023      10:00 - 10:15,5.15
1193,13/04/2023      10:15 - 10:30,5.98
1194,13/04/2023      10:30 - 10:45,5.21
1195,13/04/2023      10:45 - 11:00,5.36
1196,13/04/2023      11:00 - 11:15,5.8
1197,13/04/2023      11:15 - 11:30,5.3
1198,13/04/2023      11:30 - 11:45,4.24
1199,13/04/2023      11:45 - 12:00,3.83
1200,13/04/2023      12:00 - 12:15,3.68
1201,13/04/2023      12:15 - 12:30,4.58
1202,13/04/2023      12:30 - 12:45,7.62
1203,13/04/2023      12:45 - 13:00,7.97
1204,13/04/2023      13:00 - 13:15,9.8
1205,13/04/2023      13:15 - 13:30,7.75
1206,13/04/2023      13:30 - 13:45,8.38
1207,13/04/2023      13:45 - 14:00,8.61
1208,13/04/2023      14:00 - 14:15,7.15
1209,13/04/2023      14:15 - 14:30,6.65
1210,13/04/2023      14:30 - 14:45,7.86
1211,13/04/2023      14:45 - 15:00,10.02
1212,13/04/2023      15:00 - 15:15,11.35
1213,13/04/2023      15:15 - 15:30,8.27
1214,13/04/2023      15:30 - 15:45,3.94
1215,13/04/2023      15:45 - 16:00,4.6
1216,13/04/2023      16:00 - 16:15,3.76
1217,13/04/2023      16:15 - 16:30,5.41
1218,13/04/2023      16:30 - 16:45,6.62
1219,13/04/2023      16:45 - 17:00,6.23
1220,13/04/2023      17:00 - 17:15,5.33
1221,13/04/2023      17:15 - 17:30,3.16
1222,13/04/2023      17:30 - 17:45,5.71
1223,13/04/2023      17:45 - 18:00,7.99
1224,13/04/2023      18:00 - 18:15,9.87
1225,13/04/2023      18:15 - 18:30,10.76
1226,13/04/2023      18:30 - 18:45,10.85
1227,13/04/2023      18:45 - 19:00,13.15
1228,13/04/2023      19:00 - 19:15,13.14
1229,13/04/2023      19:15 - 19:30,10.31
1230,13/04/2023      19:30 - 19:45,8.34
1231,13/04/2023      19:45 - 20:00,13.47
1232,13/04/2023      20:00 - 20:15,22.1
1233,13/04/2023      20:15 - 20:30,29.98
1234,13/04/2023      20:30 - 20:45,30.83
1235,13/04/2023      20:45 - 21:00,28.8
1236,13/04/2023      21:00 - 21:15,28.87
1237,13/04/2023      21:15 - 21:30,31.73
1238,13/04/2023      21:30 - 21:45,38.08
1239,13/04/2023      21:45 - 22:00,44.65
1240,13/04/2023      22:00 - 22:15,47.23
1241,13/04/2023      22:15 - 22:30,47.98
1242,13/04/2023      22:30 - 22:45,47.61
1243,13/04/2023      22:45 - 23:00,42.38
1244,13/04/2023      23:00 - 23:15,41.89
1245,13/04/2023      23:15 - 23:30,42.34
1246,13/04/2023      23:30 - 23:45,42.56
1247,13/04/2023      23:45 - 24:00,44.32
1248,14/04/2023      00:00 - 00:15,45.12
