date,HULL,OT
2022-03-09 02:30:00.00,0.8164,0.0
2022-03-09 02:45:00.00,0.7869,0.0
2022-03-09 03:00:00.00,0.7966,0.0
2022-03-09 03:15:00.00,0.7580,0.0
2022-03-09 03:30:00.00,0.7782,0.0
2022-03-09 03:45:00.00,0.7306,0.0
2022-03-09 04:00:00.00,0.7571,0.0
2022-03-09 04:15:00.00,0.6986,0.0
2022-03-09 04:30:00.00,0.7401,0.0
2022-03-09 04:45:00.00,0.6758,0.0
2022-03-09 05:00:00.00,0.7260,0.0
2022-03-09 05:15:00.00,0.6849,0.0
2022-03-09 05:30:00.00,0.7133,0.0
2022-03-09 05:45:00.00,0.6393,0.0
2022-03-09 06:00:00.00,0.6907,0.0
2022-03-09 06:15:00.00,0.6560,0.0
2022-03-09 06:30:00.00,0.7006,0.0
2022-03-09 06:45:00.00,0.6728,0.0
2022-03-09 07:00:00.00,0.7062,0.0
2022-03-09 07:15:00.00,0.6545,0.0
2022-03-09 07:30:00.00,0.7119,0.0
2022-03-09 07:45:00.00,0.6560,0.0
2022-03-09 08:00:00.00,0.7203,0.0
2022-03-09 08:15:00.00,0.6682,0.0
2022-03-09 08:30:00.00,0.7655,0.0
2022-03-09 08:45:00.00,0.6758,0.0
2022-03-09 09:00:00.00,0.7373,0.0
2022-03-09 09:15:00.00,0.6941,0.0
2022-03-09 09:30:00.00,0.7754,0.0
2022-03-09 09:45:00.00,0.6971,0.0
2022-03-09 10:00:00.00,0.7556,0.0
2022-03-09 10:15:00.00,0.6910,0.0
2022-03-09 10:30:00.00,0.7627,0.0
2022-03-09 10:45:00.00,0.7154,0.0
2022-03-09 11:00:00.00,0.7669,0.0
2022-03-09 11:15:00.00,0.7199,0.0
2022-03-09 11:30:00.00,0.7825,0.0
2022-03-09 11:45:00.00,0.7458,0.0
2022-03-09 12:00:00.00,0.7938,0.0
2022-03-09 12:15:00.00,0.7656,0.0
2022-03-09 12:30:00.00,0.8093,0.0
2022-03-09 12:45:00.00,0.7915,0.0
2022-03-09 13:00:00.00,0.8192,0.0
2022-03-09 13:15:00.00,0.7915,0.0
2022-03-09 13:30:00.00,0.8347,0.0
2022-03-09 13:45:00.00,0.7900,0.0
2022-03-09 14:00:00.00,0.8517,0.0
2022-03-09 14:15:00.00,0.7960,0.0
2022-03-09 14:30:00.00,0.8263,0.0
2022-03-09 14:45:00.00,0.7976,0.0
2022-03-09 15:00:00.00,0.8362,0.0
2022-03-09 15:15:00.00,0.8037,0.0
2022-03-09 15:30:00.00,0.8319,0.0
2022-03-09 15:45:00.00,0.8128,0.0
2022-03-09 16:00:00.00,0.8418,0.0
2022-03-09 16:15:00.00,0.8250,0.0
2022-03-09 16:30:00.00,0.8517,0.0
2022-03-09 16:45:00.00,0.8295,0.0
2022-03-09 17:00:00.00,0.8588,0.0
2022-03-09 17:15:00.00,0.8539,0.0
2022-03-09 17:45:00.00,0.8447,0.0
2022-03-09 20:00:00.00,0.8856,0.0
2022-03-09 20:15:00.00,0.9117,0.0
2022-03-09 20:30:00.00,0.9816,0.0
2022-03-09 20:45:00.00,0.9330,0.0
2022-03-09 21:00:00.00,0.9972,0.0
2022-03-09 21:15:00.00,0.9163,0.0
2022-03-09 21:30:00.00,1.0000,0.0
2022-03-09 21:45:00.00,0.9619,0.0
2022-03-09 22:00:00.00,0.9506,0.0
2022-03-09 22:15:00.00,0.9711,0.0
2022-03-09 22:30:00.00,0.9138,0.0
2022-03-09 22:45:00.00,1.0000,0.0
2022-03-09 23:00:00.00,0.8983,0.0
2022-03-09 23:15:00.00,0.8858,0.0
2022-03-09 23:30:00.00,0.8814,0.0
2022-03-09 23:45:00.00,0.8980,0.0
2022-03-10 00:00:00.00,0.9306,6.0
2022-03-10 00:15:00.00,0.9895,0.0
2022-03-10 00:30:00.00,0.9202,0.0
2022-03-10 00:45:00.00,0.9808,0.0
2022-03-10 01:00:00.00,0.9114,0.0
2022-03-10 01:15:00.00,0.9878,0.0
2022-03-10 01:30:00.00,0.8892,0.0
2022-03-10 01:45:00.00,0.9390,0.0
2022-03-10 02:00:00.00,0.8671,0.0
2022-03-10 02:15:00.00,0.9146,0.0
2022-03-10 02:30:00.00,0.8449,0.0
2022-03-10 02:45:00.00,0.8937,0.0
2022-03-10 03:00:00.00,0.8316,0.0
2022-03-10 03:15:00.00,0.8693,0.0
2022-03-10 03:30:00.00,0.8213,0.0
2022-03-10 03:45:00.00,0.8484,0.0
2022-03-10 04:00:00.00,0.7991,0.0
2022-03-10 04:15:00.00,0.8153,0.0
2022-03-10 04:30:00.00,0.7858,0.0
2022-03-10 04:45:00.00,0.8049,0.0
2022-03-10 05:00:00.00,0.7725,0.0
2022-03-10 05:15:00.00,0.7840,0.0
2022-03-10 05:30:00.00,0.7563,0.0
2022-03-10 05:45:00.00,0.7700,0.0
2022-03-10 06:00:00.00,0.7445,0.0
2022-03-10 06:15:00.00,0.7718,0.0
2022-03-10 06:30:00.00,0.7415,0.0
2022-03-10 06:45:00.00,0.7474,0.0
2022-03-10 07:00:00.00,0.7548,0.0
2022-03-10 07:30:00.00,0.7843,0.0
2022-03-10 09:15:00.00,0.7700,0.0
2022-03-10 09:30:00.00,0.7696,0.0
2022-03-10 09:45:00.00,0.9199,0.0
2022-03-10 10:00:00.00,0.8405,0.0
2022-03-10 10:15:00.00,0.8798,0.0
2022-03-10 10:30:00.00,1.0000,0.0
2022-03-10 10:45:00.00,0.8136,0.0
2022-03-10 11:00:00.00,0.8139,0.0
2022-03-10 11:15:00.00,0.8328,0.0
2022-03-10 11:30:00.00,0.8213,0.0
2022-03-10 11:45:00.00,0.8641,0.0
2022-03-10 12:00:00.00,0.8434,0.0
2022-03-10 12:15:00.00,0.8798,0.0
2022-03-10 12:30:00.00,0.8567,0.0
2022-03-10 12:45:00.00,0.9007,0.0
2022-03-10 13:00:00.00,0.8626,0.0
2022-03-10 13:15:00.00,0.8972,0.0
2022-03-10 13:30:00.00,0.8730,0.0
2022-03-10 13:45:00.00,0.9233,0.0
2022-03-10 14:00:00.00,0.8804,0.0
2022-03-10 14:15:00.00,0.9303,0.0
2022-03-10 14:30:00.00,0.8848,0.0
2022-03-10 14:45:00.00,0.9338,0.0
2022-03-10 15:00:00.00,0.8818,0.0
2022-03-10 15:15:00.00,0.9355,0.0
2022-03-10 15:30:00.00,0.8877,0.0
2022-03-10 15:45:00.00,0.9443,0.0
2022-03-10 16:00:00.00,0.8922,0.0
2022-03-10 16:15:00.00,0.9495,0.0
2022-03-10 16:30:00.00,0.8981,0.0
2022-03-10 16:45:00.00,0.9599,0.0
2022-03-10 17:00:00.00,0.9084,0.0
2022-03-10 17:15:00.00,0.9721,0.0
2022-03-10 20:00:00.00,0.9291,0.0
2022-03-10 20:30:00.00,0.9261,0.0
2022-03-10 20:45:00.00,0.9878,0.0
2022-03-10 21:00:00.00,0.9276,0.0
2022-03-10 21:15:00.00,0.9861,0.0
2022-03-10 21:30:00.00,0.9188,0.0
2022-03-10 21:45:00.00,0.9965,0.0
2022-03-10 22:00:00.00,0.9232,0.0
2022-03-10 22:15:00.00,0.9948,0.0
2022-03-10 22:45:00.00,0.9965,0.0
2022-03-10 23:00:00.00,0.9188,0.0
2022-03-10 23:15:00.00,1.0000,0.0
2022-03-10 23:30:00.00,0.9202,0.0
2022-03-10 23:45:00.00,0.9948,0.0
2022-03-11 00:00:00.00,1.0000,25.5
2022-03-11 00:15:00.00,1.0000,0.0
2022-03-11 00:30:00.00,0.9968,0.0
2022-03-11 00:45:00.00,0.9912,0.0
2022-03-11 01:00:00.00,0.9871,0.0
2022-03-11 01:15:00.00,0.9648,0.0
